"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Aug 15 06:16:15 GMT 2021","Sun Aug 15 06:16:22 GMT 2021","7278","vizsgaremek_tests","test_1051_list","","","","test_1051_list",""
"passed","Sun Aug 15 06:12:11 GMT 2021","Sun Aug 15 06:12:51 GMT 2021","39337","vizsgaremek_tests","test_1010_13_reg","","","","test_1010_13reg",""
"failed","Sun Aug 15 06:16:22 GMT 2021","Sun Aug 15 06:16:37 GMT 2021","15569","vizsgaremek_tests","test_1060_pag","","","","test_1060_pag",""
"passed","Sun Aug 15 06:14:24 GMT 2021","Sun Aug 15 06:14:34 GMT 2021","10305","vizsgaremek_tests","test_1020_log","","","","test_1020_log",""
"failed","Sun Aug 15 06:14:11 GMT 2021","Sun Aug 15 06:14:24 GMT 2021","13235","vizsgaremek_tests","test_1014_15_reg","","","","test_reg_1014_15",""
"passed","Sun Aug 15 06:16:01 GMT 2021","Sun Aug 15 06:16:15 GMT 2021","13498","vizsgaremek_tests","test_1045_modif","","","","test_1045_data_mod",""
"passed","Sun Aug 15 06:15:09 GMT 2021","Sun Aug 15 06:15:20 GMT 2021","11097","vizsgaremek_tests","test_1040_entry_del","","","","test_1040_entry_del",""
"failed","Sun Aug 15 06:15:20 GMT 2021","Sun Aug 15 06:16:01 GMT 2021","40932","vizsgaremek_tests","test_1041_upload","","","","test_1041_upload",""
"passed","Sun Aug 15 06:15:01 GMT 2021","Sun Aug 15 06:15:09 GMT 2021","8192","vizsgaremek_tests","test_1024_logout","","","","test_1024_logout",""
"passed","Sun Aug 15 06:12:51 GMT 2021","Sun Aug 15 06:14:11 GMT 2021","79871","vizsgaremek_tests","test_1011_12_reg","","","","test_1011_reg",""
"failed","Sun Aug 15 06:14:34 GMT 2021","Sun Aug 15 06:14:53 GMT 2021","18459","vizsgaremek_tests","test_1021_log","","","","test_1021_log",""
"passed","Sun Aug 15 06:14:53 GMT 2021","Sun Aug 15 06:15:01 GMT 2021","8241","vizsgaremek_tests","test_1023_log","","","","test_1023_log",""
"failed","Sun Aug 15 06:11:55 GMT 2021","Sun Aug 15 06:12:11 GMT 2021","16649","vizsgaremek_tests","test_1000_policy","","","","test_1000_policy",""
